36024_at,lacrimal proline rich protein
41748_at," Cluster Incl AA196476:zp99g10.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-628386 /clone_end=5'' /gb=AA196476 /gi=1792058 /ug=Hs.182421 /len=697'' "
1153_f_at,"chorionic gonadotropin, beta polypeptide"
32796_f_at,"protease, serine, 1 (trypsin 1)"
40043_at," Cluster Incl X71345:H.sapiens mRNA for trypsinogen IV b-form /cds=(4,783) /gb=X71345 /gi=405755 /ug=Hs.58247 /len=834 "
1506_at,"interleukin 2 receptor, gamma (severe combined immunodeficiency)"
37374_at,annexin A4
37978_at,quinolinate phosphoribosyltransferase (nicotinate-nucleotide pyrophosphorylase (carboxylating))
35766_at,keratin 18
33824_at,keratin 8
36188_at,general transcription factor IIIA
1237_at,immediate early response 3
36170_at,protein expressed in thyroid
36124_at,thiosulfate sulfurtransferase (rhodanese)
36123_at,thiosulfate sulfurtransferase (rhodanese)
37713_at,aminoacylase 1
40198_at,voltage-dependent anion channel 1
31608_g_at,voltage-dependent anion channel 1 pseudogene
37186_s_at,amiloride binding protein 1 (amine oxidase (copper-containing))
31798_at," Cluster Incl AA314825:EST186646 Homo sapiens cDNA, 5 end /clone=ATCC-111986 /clone_end=5'' /gb=AA314825 /gi=1967154 /ug=Hs.1406 /len=574'' "
37897_s_at," Cluster Incl AI985964:wr79d08.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2493903 /clone_end=3'' /gb=AI985964 /gi=5813241 /ug=Hs.82961 /len=487'' "
31477_at,trefoil factor 3 (intestinal)
1582_at,carcinoembryonic antigen-related cell adhesion molecule 5
34454_r_at,apolipoprotein C-IV
1519_at,v-ets avian erythroblastosis virus E26 oncogene homolog 2
38739_at,v-ets avian erythroblastosis virus E26 oncogene homolog 2
37875_at,glycoprotein A33 (transmembrane)
34618_at,Indian hedgehog (Drosophila) homolog
34255_at,diacylglycerol O-acyltransferase (mouse) homolog
40445_at," Cluster Incl AF017307:Homo sapiens Ets-related transcription factor (ERT) mRNA, complete cds /cds=(202,1317) /gb=AF017307 /gi=2338755 /ug=Hs.166096 /len=2511 "
35276_at,claudin 4
33904_at,claudin 3
39339_at,KIAA0792 gene product
37413_at,dipeptidase 1 (renal)
38586_at,"fatty acid binding protein 1, liver"
33436_at,"SRY (sex determining region Y)-box 9 (campomelic dysplasia, autosomal sex-reversal)"
37415_at,"ATPase, Class V, type 10B"
31355_at,achaete-scute complex (Drosophila) homolog-like 2
170_at," U51096 /FEATURE= /DEFINITION=HSU51096 Human homeobox protein Cdx2 mRNA, complete cds "
40736_at,"cadherin 17, LI cadherin (liver-intestine)"
765_s_at,"lectin, galactoside-binding, soluble, 4 (galectin 4)"
38469_at,transmembrane 4 superfamily member 3
988_at,carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)
38615_at,differentially expressed in hematopoietic lineages
1230_g_at,cisplatin resistance associated
35256_at,Cluster Incl AL096737:Homo sapiens mRNA; cDNA DKFZp434F152 (from clone DKFZp434F152) /cds=UNKNOWN /gb=AL096737 /gi=5419869 /ug=Hs.5167 /len=2310
2089_s_at," H06628 /FEATURE= /DEFINITION=H06628 yl82g03.r1 Soares infant brain 1NIB Homo sapiens cDNA clone IMAGE:44708 5'' similar to gb:M34309 ERBB-3 RECEPTOR PROTEIN-TYROSINE KINASE PRECURSOR (HUMAN);, mRNA sequence "
1585_at,v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3
32787_at,v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3
575_s_at,tumor-associated calcium signal transducer 1
1973_s_at,v-myc avian myelocytomatosis viral oncogene homolog
37724_at,v-myc avian myelocytomatosis viral oncogene homolog
1936_s_at," Proto-Oncogene C-Myc, Alt. Splice 3, Orf 114 "
35506_s_at,cystatin SN
34622_at,"defensin, alpha 6, Paneth cell-specific"
38808_at,"cell membrane glycoprotein, 110000M(r) (surface antigen)"
35262_at,integrin beta 4 binding protein
40514_at,hypothetical 43.2 Kd protein
34771_at,phosphatidic acid phosphatase type 2C
39876_at," Cluster Incl AL035252:Human DNA sequence from clone 738P15 on chromosome 20p11.2-11.22. Contains a putative new gene, the CD39L2 for nucleoside phosphatase D39-like 2, and the (putative?) IL-6SAG gene in the CD39L2 3 UTR. Contains ESTs, an STS, GSSs and a "
36667_at,"phosphorylase, glycogen; brain"
40452_at,copine I
32324_at,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide"
40828_at,PAK-interacting exchange factor beta
38375_at,esterase D/formylglutathione hydrolase
39032_at,transforming growth factor beta-stimulated protein TSC-22
38411_at,Cluster Incl U90916:Human clone 23815 mRNA sequence /cds=UNKNOWN /gb=U90916 /gi=1913897 /ug=Hs.82845 /len=1868
32140_at,"sortilin-related receptor, L(DLR class) A repeats-containing"
40376_at,arylsulfatase E (chondrodysplasia punctata 1)
40332_at,7-60 protein
40885_s_at," Cluster Incl N30151:yx81f01.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-268153 /clone_end=3'' /gb=N30151 /gi=1148671 /ug=Hs.18113 /len=592'' "
40076_at,tumor protein D52-like 2
40116_at,"phosphofructokinase, liver"
40631_at,"transducer of ERBB2, 1"
34742_at,BCL2-like 1
34598_at,"tenascin R (restrictin, janusin)"
35278_at," Cluster Incl AI541542:libtest16.A02.r Homo sapiens cDNA, 5 end /clone_end=5'' /gb=AI541542 /gi=4458915 /ug=Hs.539 /len=639'' "
32466_at,ribosomal protein L41
330_s_at," Tubulin, Alpha 1, Isoform 44 "
36591_at,"tubulin, alpha 1 (testis specific)"
38079_at,Cluster Incl AL049367:Homo sapiens mRNA; cDNA DKFZp586B0918 (from clone DKFZp586B0918) /cds=UNKNOWN /gb=AL049367 /gi=4500158 /ug=Hs.8107 /len=2322
371_at,interferon regulatory factor 3
36955_at,endoplasmic reticulum glycoprotein
32062_at,KIAA0014 gene product
38971_r_at,Nef-associated factor 1
36984_f_at," Cluster Incl X89214:H.sapiens mRNA for haptoglobin related protein /cds=(138,1295) /gb=X89214 /gi=1495457 /ug=Hs.75990 /len=1460 "
36983_f_at,haptoglobin
38647_at,"coatomer protein complex, subunit epsilon"
41163_at,integral type I protein
1752_at,KIAA0973 protein
39473_r_at,Cluster Incl W29065:56g2 Homo sapiens cDNA /gb=W29065 /gi=1309094 /ug=Hs.110820 /len=916
35402_at,death receptor 6
286_at,"H2A histone family, member O"
32609_at," Cluster Incl AI885852:wl62d08.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2429487 /clone_end=3'' /gb=AI885852 /gi=5591016 /ug=Hs.795 /len=580'' "
32980_f_at," Cluster Incl AI688098:wc92f08.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2326119 /clone_end=3'' /gb=AI688098 /gi=4899392 /ug=Hs.239884 /len=576'' "
32819_at," Cluster Incl AJ223352:Homo sapiens mRNA for for histone H2B, clone pjG4-5-14 /cds=(16,396) /gb=AJ223352 /gi=3255996 /ug=Hs.20418 /len=793 "
31523_f_at,"H2B histone family, member H"
31524_f_at,"H2B histone family, member K"
36347_f_at," Cluster Incl AA873858:oh79b10.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-1473211 /clone_end=3'' /gb=AA873858 /gi=2967994 /ug=Hs.154576 /len=611'' "
35576_f_at,putative G-protein coupled receptor pseudogene
31528_f_at,"H2B histone family, member E"
31693_f_at,"H2A histone family, member G"
39089_at,"non-metastatic cells 4, protein expressed in"
40162_s_at,"cartilage oligomeric matrix protein (pseudoachondroplasia, epiphyseal dysplasia 1, multiple)"
40161_at,"cartilage oligomeric matrix protein (pseudoachondroplasia, epiphyseal dysplasia 1, multiple)"
41260_at,DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 17 (72kD)
32250_at," Cluster Incl X07523:Human mRNA for truncated form of complement factor H /cds=(73,1422) /gb=X07523 /gi=32492 /ug=Hs.194272 /len=1658 "
32249_at,H factor (complement)-like 1
40541_at,argininosuccinate synthetase
684_at,"serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 8"
39763_at,hemopexin
32538_at,transferrin
35013_at,lipopolysaccharide-binding protein
40390_at,serine dehydratase
37924_g_at," Cluster Incl AA846749:aj99c10.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-1404594 /clone_end=3'' /gb=AA846749 /gi=2932889 /ug=Hs.84509 /len=727'' "
36657_at," Cluster Incl AA883870:am26f01.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-1467961 /clone_end=3'' /gb=AA883870 /gi=2993400 /ug=Hs.75615 /len=599'' "
32552_at,"retinol-binding protein 4, interstitial"
33992_at,albumin
33991_g_at,Cluster Incl U22961:Human mRNA clone with similarity to L-glycerol-3-phosphate-NAD oxidoreductase and albumin gene sequences /cds=UNKNOWN /gb=U22961 /gi=763428 /ug=Hs.75442 /len=3239
36995_at,alpha-1-microglobulin/bikunin precursor
33487_at,4-hydroxyphenylpyruvate dioxygenase
1232_s_at,insulin-like growth factor binding protein 1
37020_at,"C-reactive protein, pentraxin-related"
40114_at,alpha-fetoprotein
39078_at,selenophosphate synthetase 2
614_at,"phospholipase A2, group IIA (platelets, synovial fluid)"
37017_at,"phospholipase A2, group IIA (platelets, synovial fluid)"
33998_at,neurotensin
38356_at,follistatin
39002_at,titin-cap (telethonin)
32363_at,cholesterol 25-hydroxylase
36355_at,involucrin
40501_s_at,"myosin-binding protein C, slow-type"
33483_at,neuromedin U
34949_at,KIAA1048 protein
1367_f_at,ubiquitin C
32334_f_at,ubiquitin C
32335_r_at,ubiquitin C
39370_at,Cluster Incl W28807:52a3 Homo sapiens cDNA /gb=W28807 /gi=1308755 /ug=Hs.121849 /len=819
35703_at,platelet-derived growth factor alpha polypeptide
1392_at,G protein-coupled receptor kinase 6
34797_at,phosphatidic acid phosphatase type 2A
234_s_at,"pleiotrophin (heparin binding growth factor 8, neurite growth-promoting factor 1)"
34820_at,"pleiotrophin (heparin binding growth factor 8, neurite growth-promoting factor 1)"
1348_s_at,"propionyl Coenzyme A carboxylase, alpha polypeptide"
32846_s_at,kinectin 1 (kinesin receptor)
41597_s_at,"SEC22, vesicle trafficking protein (S. cerevisiae)-like 1"
36960_at,early development regulator 2 (homolog of polyhomeotic 2)
1798_at,"LIV-1 protein, estrogen regulated"
33878_at,Cluster Incl W27472:31d4 Homo sapiens cDNA /gb=W27472 /gi=1307276 /ug=Hs.24391 /len=806
37628_at,monoamine oxidase B
32135_at,sterol regulatory element binding transcription factor 1
37183_at,"glutamate decarboxylase 1 (brain, 67kD)"
38254_at,KIAA0882 protein
1681_at,estrogen receptor 1
32043_at,stanniocalcin 2
38187_at," Cluster Incl D90041:Human liver arylamine N-acetyltransferase (EC 2.3.1.5) gene /cds=(146,1018) /gb=D90041 /gi=219413 /ug=Hs.155956 /len=1319 "
33799_at,seven in absentia (Drosophila) homolog 2
35327_at,"eukaryotic translation initiation factor 3, subunit 3 (gamma, 40kD)"
41648_at,carnitine acetyltransferase
38078_at,"filamin B, beta (actin-binding protein-278)"
37600_at,extracellular matrix protein 1
40184_at,"casein kinase 1, alpha 1"
32004_s_at," Cluster Incl W32483:zc67e07.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-327396 /clone_end=5'' /gb=W32483 /gi=1313473 /ug=Hs.214291 /len=454'' "
41624_r_at," Cluster Incl AA932443:oo75b11.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-1571997 /clone_end=3'' /gb=AA932443 /gi=3087224 /ug=Hs.118556 /len=475'' "
37771_at,thousand and one amino acid protein kinase
41203_at,zinc finger protein 162
37730_at,EBNA-2 co-activator (100kD)
41829_at,KIAA0731 protein
39832_at,Cluster Incl AL096723:Homo sapiens mRNA; cDNA DKFZp564H2023 (from clone DKFZp564H2023) /cds=UNKNOWN /gb=AL096723 /gi=5419856 /ug=Hs.111801 /len=2965
35239_at,emerin (Emery-Dreifuss muscular dystrophy)
41160_at,methyl-CpG binding domain protein 3
33822_at,nuclear mitotic apparatus protein 1
1438_at,EphB3
32243_g_at," Cluster Incl AL038340:DKFZp566K192_s1 Homo sapiens cDNA, 3 end /clone=DKFZp566K192 /clone_end=3'' /gb=AL038340 /gi=5407591 /ug=Hs.1940 /len=746'' "
36455_at,"collagen, type IX, alpha 3"
35837_at,scrapie responsive protein 1
34674_at,S100 calcium-binding protein A1
39271_at," Cluster Incl AA461365:zx70e07.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-796836 /clone_end=5'' /gb=AA461365 /gi=2186485 /ug=Hs.237742 /len=591'' "
35185_at,"fatty acid binding protein 7, brain"
1728_at,murine leukemia viral (bmi-1) oncogene homolog
41125_r_at,ectonucleotide pyrophosphatase/phosphodiesterase 2 (autotaxin)
36011_at,syntaxin 10
37885_at,hypothetical protein
40815_g_at,iduronate 2-sulfatase (Hunter syndrome)
41537_r_at,nuclear factor I/X (CCAAT-binding transcription factor)
39424_at,"tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)"
33090_at,ephrin-A2
34381_at," Cluster Incl AI708889:as86g01.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2335632 /clone_end=3'' /gb=AI708889 /gi=4998665 /ug=Hs.3462 /len=533'' "
556_s_at,glutathione S-transferase M4
39054_at,glutathione S-transferase M4
40234_at,DiGeorge syndrome critical region gene 6
32852_at,"thioredoxin, mitochondrial"
40745_at,"adaptor-related protein complex 1, beta 1 subunit"
31837_at,hypothetical protein 384D8_6
36027_at," Cluster Incl AA418779:zv98d05.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-767817 /clone_end=5'' /gb=AA418779 /gi=2080589 /ug=Hs.46405 /len=542'' "
36651_at,"acid phosphatase 2, lysosomal"
38858_at,"potassium voltage-gated channel, subfamily H (eag-related), member 2"
38060_at," Cluster Incl AI541336:pec1.2-7.A07.r Homo sapiens cDNA, 5 end /clone_end=5'' /gb=AI541336 /gi=4458709 /ug=Hs.80595 /len=717'' "
39814_s_at," Cluster Incl AI052724:oz27a12.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1676542 /clone_end=3'' /gb=AI052724 /gi=3308715 /ug=Hs.109201 /len=682'' "
35793_at,Ras-GTPase activating protein SH3 domain-binding protein 2
39382_at,KIAA0517 protein
34759_at,Cluster Incl U68494:Human hbc647 mRNA sequence /cds=UNKNOWN /gb=U68494 /gi=1546096 /ug=Hs.24385 /len=1843
33931_at,glutathione peroxidase 4 (phospholipid hydroperoxidase)
34259_at,KIAA0664 protein
36782_s_at,insulin-like growth factor 2 (somatomedin A)
1591_s_at,insulin-like growth factor 2 (somatomedin A)
2079_s_at," M13970 /FEATURE=mRNA /DEFINITION=HUMGFI21 Human insulin-like growth factor (IGF-II) gene, exon 1 of 4 "
1664_at,Insulin-Like Growth Factor 2
35663_at," Cluster Incl U29195:Human neuronal pentraxin II (NPTX2) gene /cds=(58,1650) /gb=U29195 /gi=881970 /ug=Hs.3281 /len=2891 "
39701_at,paternally expressed 3
35378_at," Cluster Incl AI051683:oy77h08.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1671903 /clone_end=3'' /gb=AI051683 /gi=3307217 /ug=Hs.154704 /len=453'' "
34343_at,steroidogenic acute regulatory protein
35137_at,myomesin 1 (skelemin) (185kD)
697_f_at," Luteinizing Hormone, Beta Subunit "
38604_at," Cluster Incl AI198311:qi61f11.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1861005 /clone_end=3'' /gb=AI198311 /gi=3750917 /ug=Hs.1832 /len=574'' "
1823_g_at," Oncogene Ret/Ptc2, Fusion Activated "
1822_at," Oncogene Ret/Ptc2, Fusion Activated "
39352_at,"glycoprotein hormones, alpha polypeptide"
33361_at,"guanine nucleotide binding protein (G protein), gamma 3, linked"
35670_at,"ATPase, Na+/K+ transporting, alpha 3 polypeptide"
37195_at,"cytochrome P450, subfamily XIA (cholesterol side chain cleavage)"
32447_at,"nuclear receptor subfamily 5, group A, member 1"
36196_at,"phosphofructokinase, muscle"
39878_at," Cluster Incl AI524125:th09d11.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2117781 /clone_end=3'' /gb=AI524125 /gi=4438260 /ug=Hs.12450 /len=681'' "
37714_at,growth associated protein 43
35628_at,transmembrane 7 superfamily member 2
36589_at,"aldo-keto reductase family 1, member B1 (aldose reductase)"
32215_i_at,KIAA0878 protein
36139_at,DKFZP586G0522 protein
37330_at,aldehyde dehydrogenase 4 (glutamate gamma-semialdehyde dehydrogenase; pyrroline-5-carboxylate dehydrogenase)
41633_at,DKFZP586K0919 protein
39418_at," Cluster Incl AJ007398:Homo sapiens mRNA for PBK1 protein /cds=(5,1558) /gb=AJ007398 /gi=3668140 /ug=Hs.129849 /len=1908 "
37860_at,DKFZP564F1422 protein
33398_at,KIAA0670 protein/acinus
35027_at,"cholinergic receptor, nicotinic, beta polypeptide 1 (muscle)"
1122_f_at," K03183 /FEATURE=cds /DEFINITION=HUMCGBBA3 Human chorionic gonadotropin beta subunit gene, exon 3, clone CG-beta-a "
41374_at,"ribosomal protein S6 kinase, 70kD, polypeptide 2"
32928_at,POU transcription factor
1155_at,v-myc avian myelocytomatosis viral oncogene homolog 2
34146_at,8-oxoguanine DNA glycosylase
477_at,interferon regulatory factor 5
38942_r_at,Cluster Incl W28610:49b12 Homo sapiens cDNA /gb=W28610 /gi=1308558 /ug=Hs.21137 /len=818
31810_g_at,contactin 1
33758_f_at,pregnancy specific beta-1-glycoprotein 11
38936_at,"elastase 1, pancreatic"
31826_at,KIAA0674 protein
36096_at,hypothetical protein FLJ13110
32468_f_at,carcinoembryonic antigen-related cell adhesion molecule 3
32104_i_at,calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma
33545_at,"sodium channel, voltage-gated, type IV, alpha polypeptide"
32897_at,"5,10-methylenetetrahydrofolate reductase (NADPH)"
34832_s_at,KIAA0763 gene product
37013_at,angiotensin I converting enzyme (peptidyl-dipeptidase A) 1
34789_at,"serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 6"
36479_at,growth arrest-specific 11
1398_g_at,mitogen-activated protein kinase kinase kinase 11
1091_at,"protein kinase, cAMP-dependent, regulatory, type I, beta"
35175_f_at,eukaryotic translation elongation factor 1 alpha 2
35174_i_at,eukaryotic translation elongation factor 1 alpha 2
39965_at," Cluster Incl AI570572:tm78c02.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2164226 /clone_end=3'' /gb=AI570572 /gi=4533946 /ug=Hs.45002 /len=813'' "
34495_r_at,synaptogyrin 4
33826_at," Cluster Incl AL120500:DKFZp761M078_s1 Homo sapiens cDNA, 3 end /clone=DKFZp761M078 /clone_end=3'' /gb=AL120500 /gi=5926399 /ug=Hs.23476 /len=673'' "
33453_at," Cluster Incl AI400326:tg89c03.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2115940 /clone_end=3'' /gb=AI400326 /gi=4243413 /ug=Hs.234106 /len=567'' "
34348_at,"serine protease inhibitor, Kunitz type, 2"
32756_at,"enoyl Coenzyme A hydratase 1, peroxisomal"
32156_at,poliovirus receptor-related 2 (herpesvirus entry mediator B)
33814_at,"protein kinase related to S. cerevisiae STE20, effector for Cdc42Hs"
35102_at,zinc finger protein
41450_at," Cluster Incl AI553878:tn30a05.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2169104 /clone_end=3'' /gb=AI553878 /gi=4486241 /ug=Hs.110796 /len=670'' "
35004_at,short-chain alcohol dehydrogenase family member
32820_at,"CCR4-NOT transcription complex, subunit 4"
34005_at,polymeric immunoglobulin receptor
36338_at,Cluster Incl W28504:48e7 Homo sapiens cDNA /gb=W28504 /gi=1308515 /ug=Hs.154085 /len=1007
39601_at,Ras association (RalGDS/AF-6) domain family 1
34066_at,hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase)
1167_s_at,matrix metalloproteinase 15 (membrane-inserted)
868_at,"TATA box binding protein (TBP)-associated factor, RNA polymerase II, H, 30kD"
39471_at,"membrane component, chromosome 11, surface marker 1"
37389_at," Cluster Incl AI346580:qp51f08.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1926567 /clone_end=3'' /gb=AI346580 /gi=4083786 /ug=Hs.78050 /len=1010'' "
41785_at,"eukaryotic translation initiation factor 4 gamma, 2"
40485_at," Cluster Incl AA176780:zp32a10.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-611130 /clone_end=3'' /gb=AA176780 /gi=1757929 /ug=Hs.16944 /len=696'' "
35482_at,"aldo-keto reductase family 1, member C4 (chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4)"
41269_r_at,API5-like 1
36164_at,"Pyruvate dehydrogenase complex, lipoyl-containing component X; E3-binding protein"
